Product ID,Product Description,Version,Receipt Date,Product Owner Name,Unit ID,Building,Zone,Aisle,Rack,Level,Pieces per Container,Total On Hand
EBW May 2025,EBW May 2025,,04/10/2025 11:28:00,Freedom Moses,136842,01,West Main Warehouse,07,07,A1,1,13
FM-LYXSM-3940,FM-LYXSM-3940,,02/21/2025 07:57:00,Freedom Moses,131438,01,East Shelves,S03,20,E,12,4
FM-SMOKE-3839,SMOKE-SLIDES-3839,,02/21/2025 07:58:00,Freedom Moses,131439,01,East Shelves,S04,01,A,12,12
FM-PRTOF-3940,FM-PRTOF-3940,,02/21/2025 07:58:00,Freedom Moses,131440,01,East Shelves,S04,01,A,0,0
FM-STONE-3839,STONE-SLIDES-3839,,02/21/2025 08:00:00,Freedom Moses,131441,01,East Shelves,S04,10,E,12,0
FM-ANGIE-4041,ANGIE-SLIDES,,02/21/2025 08:00:00,Freedom Moses,131442,01,East Shelves,S04,10,E,12,7
FM-FRCBL-3738,FIERCE BLACK-SLIDES,,02/21/2025 08:00:00,Freedom Moses,131446,01,East Shelves,S04,14,E,0,4
FM-MAR-2829,MARLEY-SLIDES-2829,,02/21/2025 08:00:00,Freedom Moses,131447,01,East Shelves,S04,14,E,0,7
FM-RGAL-2829,FM-RGAL-2829,,02/21/2025 08:00:00,Freedom Moses,131448,01,East Shelves,S04,14,E,12,11
FM-CAC-3738,CACTUS-SLIDES-3738,,02/21/2025 08:04:00,Freedom Moses,131449,01,East Shelves,S05,16,C,12,0
FM-WILDSNDS-3738,WILDCAT-SANDS-SLIDES-3738,,02/21/2025 08:04:00,Freedom Moses,131450,01,East Shelves,S05,16,C,12,12
FM-POPSA-3738,POPLEO SANDS-SLIDES,,02/21/2025 08:04:00,Freedom Moses,131451,01,East Shelves,S05,16,C,12,0
FM-PZALC-3738,PAZ ALICE-SLIDES,,02/21/2025 08:05:00,Freedom Moses,131452,01,East Shelves,S05,18,C,12,3
FM-FUJ-3738,FUJI-SLIDES,,02/21/2025 08:05:00,Freedom Moses,131453,01,East Shelves,S05,18,C,12,0
FM-VENUS-3738,VENUS-SLIDES-3738,,02/21/2025 08:05:00,Freedom Moses,131454,01,East Shelves,S05,18,C,12,0
