Product ID,Product Description,Product Owner ID,Product Owner Name,Expected Arrival Entry Date,Quantity per Box,Quantity per Pallet,# of Pallets,doesMatch,Initial Expected Quantity,Our Purchase Order
CS8840A1033/B,WATERHEATER PILOT,CUS529,Resideo,08/12/2025,,,,,2304,10980394
CS8840B1109/B,WATER HEATER PILOT,CUS529,Resideo,08/12/2025,,,,,1152,10980394
CS8840B1117/B,WATER HEATER PILOT,CUS529,Resideo,08/12/2025,,,,,2304,10980394
CS8840B1127/B,PILOT HARDWARE FOR WATER HEATER,CUS529,Resideo,08/12/2025,,,,,1152,10980394
CS8840B5100/B,WATER HEATER PILOT,CUS529,Resideo,08/12/2025,,,,,384,10980394
CS8840B5118/B,WATER HEATER PILOT,CUS529,Resideo,08/12/2025,,,,,1152,10980394
CS8840C1710/B,RHEEM VESTA PILOT,CUS529,Resideo,08/12/2025,,,,,2304,10980394
CS8840C1736/B,RHEEM VESTA PILOT,CUS529,Resideo,08/12/2025,,,,,2304,10980394
CS8860A1264/B,WATER HEATER PILOT,CUS529,Resideo,08/12/2025,,,,,720,10980394
IS20473-6285/B,PRESSURE SWITCH,CUS529,Resideo,08/12/2025,,,,,400,10980394
Q314A6649/B,TARGET PLT BRNR,CUS529,Resideo,08/12/2025,,,,,300,10980394
Q3451J1410/B,PILOT BURNER   395330,CUS529,Resideo,08/12/2025,,,,,800,10980394
SV9501M2700/B,"1/2X1/2,3.5 WC.NATURALGAS,BULKP",CUS529,Resideo,08/12/2025,,,,,100,10980394
SV9601M4167/B,"3/4X3/4,3.5 WCREGSET,BULKBACK.",CUS529,Resideo,08/12/2025,,,,,20,10980394
VR8204C3015/B,CGC INT PLT STEP OPN,CUS529,Resideo,08/12/2025,,,,,60,10980394
VR8204C6018/B,CGC INT PLT STEP OPN,CUS529,Resideo,08/12/2025,,,,,80,10980394
VR8204H1147/B,DUAL VALVE GAS CONTROL,CUS529,Resideo,08/12/2025,,,,,240,10980394
VR8204M8046/B,"VR8204M 1SG GAS VALVE, 3.5  WC 1/2X1/2,",CUS529,Resideo,08/12/2025,,,,,240,10980394
VR8204M8053/B,"VR8204M 1SG GAS VALVE, 3.5  WC 1/2 ELB X",CUS529,Resideo,08/12/2025,,,,,160,10980394
VR8204Q2418/B,DUAL VALVE 1/2 X 1/2 2-STAGE,CUS529,Resideo,08/12/2025,,,,,50,10980394
VR8205M2948/B,DUAL VALVE GAS CONTROL,CUS529,Resideo,08/12/2025,,,,,400,10980394
VR8215S1289/B,GAS VALVE,CUS529,Resideo,08/12/2025,,,,,900,10980394
VR8303M4863/B,DL VLV GAS CONTROL (395050-10),CUS529,Resideo,08/12/2025,,,,,60,10980394
VR8304M2188/B,CGC 395050-2 1/2 X 1/2 3 5 WC,CUS529,Resideo,08/12/2025,,,,,200,10980394
VR8304P4256/B,CGC DV INT PLT,CUS529,Resideo,08/12/2025,,,,,400,10980394
VR8305M2979/B,CGC DL VLV,CUS529,Resideo,08/12/2025,,,,,100,10980394
VR9205Q1127/B,GAS VALVE,CUS529,Resideo,08/12/2025,,,,,240,10980394
WV4444B1013/P,WATER HEATER VALVE,CUS529,Resideo,08/12/2025,,,,,250,10980394
WV4462C1005/P,RHEEM  WATER HEATER VALVE NG POLYMER WEL,CUS529,Resideo,08/12/2025,,,,,500,10980394
WV8840A1057/P,VESTA 2.0 WATER HEATER GAS VALVE,CUS529,Resideo,08/12/2025,,,,,600,10980394
WV8840B1158/P,AOSMITH VESTA VALVE,CUS529,Resideo,08/12/2025,,,,,2100,10980394
WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE",CUS529,Resideo,08/12/2025,,,,,3600,10980394
WV8860A1016/P,VESTA 2.0 WATER HEATER GAS VALVE,CUS529,Resideo,08/12/2025,,,,,1200,10980394
WV8860C1015/P,ULN VALVE,CUS529,Resideo,08/12/2025,,,,,250,10980394
CS8840A1033/B,WATERHEATER PILOT,CUS529,Resideo,08/12/2025,,,,,1152,10980626
CS8840C1736/B,RHEEM VESTA PILOT,CUS529,Resideo,08/12/2025,,,,,1152,10980626
GFS3451-4036/B,AIRSW PROD/CARRIER,CUS529,Resideo,08/12/2025,,,,,200,10980626
Q314A6649/B,TARGET PLT BRNR,CUS529,Resideo,08/12/2025,,,,,100,10980626
Q3451J1410/B,PILOT BURNER   395330,CUS529,Resideo,08/12/2025,,,,,800,10980626
VR8205A2008/B,"1/2X1/2,REG.SET3.5 W.C.,BULKPAC",CUS529,Resideo,08/12/2025,,,,,400,10980626
VR8215S1289/B,GAS VALVE,CUS529,Resideo,08/12/2025,,,,,900,10980626
VR9205Q1127/B,GAS VALVE,CUS529,Resideo,08/12/2025,,,,,240,10980626
