Order ID,Pick Slip ID,Product ID,Product Description,Date/Time Returned,Return Line Qty Returned,Return Line Disposition
109007561817051,331178,PL-POP-MRMRS-RCT-SM-50,"""Mr. and Mrs."" StatementWare Disposable Birthday Party Plates (50-Pack, 7.5"" x 5.5"")",04/02/2025 14:26:00,1,Return to Stock
978,335665,KA02,Sourdough Starter Jar,05/08/2025 15:11:00,1,Return to Stock
838,314358,KA06TS,KneadAce PRO Thermometer stickers-  set of 3,02/12/2025 14:33:00,1,Return to Stock
942,333763,KA06TS,KneadAce PRO Thermometer stickers-  set of 3,05/01/2025 12:08:00,1,Return to Stock
942,333763,KA06ACC,KneadAce PRO 34Oz starter jar accessories kit,05/01/2025 12:08:00,1,Return to Stock
#1106,285575,NP-ST-10-DO,"Notpaper™ Towels Strawberry Fields 10 Count, Online

ASIN: B0DB3C2DQC",12/05/2024 15:14:00,2,Return to Stock
#1106,285575,NP-PW-10-DO,"Notpaper™ Towels Periwinkle Wings 10 Count, Online

ASIN: B0DB38K6K1",12/05/2024 15:14:00,1,Return to Stock
3722,329801,Replacement Throttle,Old MG and New Bike Throttles,03/25/2025 11:37:00,1,Return to Stock
A44498,285129,85-00081,CARVIN LOGO,12/05/2024 15:10:00,1,Return to Stock
A46252,364845,SCx12ARM,Replacement Module for SCx12A,11/18/2025 16:04:00,1,Return to Stock
A45879,346294,WM5,Wireless Microphone System,10/15/2025 15:23:00,1,Return to Stock
A44555,286038,X1,All Tube Preamp Pedal with 12Ax7 Tubes,01/17/2025 10:26:00,1,Return to Stock
A46101,352474,WG6,WIRELESS GUITAR/BASS SYSTEM,11/04/2025 11:04:00,1,Return to Stock
1312,324248,Assembly:Bedding:dcorvbkgcb,Orkney Duvet Cover - Vintage Blue / King / Coconut Buttons,06/06/2025 11:33:00,1,Return to Stock
#117284,288743,Assembly:Bedding:saorchkgcb,Orkney Sham - charcoal / king / coconut buttons,06/04/2025 09:28:00,2,Return to Stock
#118910,314392,Assembly:Bedding:saorvbstzp,Orkney Sham - vintage blue / standard / zippers,06/03/2025 11:42:00,2,Return to Stock
#123320,337810,Assembly:Kitchen & Table - Assembly:ttorwh,Orkney Tea Towel - white,09/16/2025 10:55:00,1,Return to Stock
#122200,335477,Assembly:Clothing - Assembly:tboreu,Orkney Tote Bag eucalyptus/forest,06/04/2025 10:50:00,1,Return to Stock
#114379,283757,Assembly:Bedding:shsmnttwsf,Smooth Fitted Sheet - natural / twin / Standard,06/04/2025 09:33:00,1,Return to Stock
#118905,314388,Assembly:Bedding:shsmwhkgdf,Smooth Fitted Sheet - pure white / king / Deep,06/03/2025 15:53:00,1,Return to Stock
#118771,308028,Assembly:Clothing - Assembly:rbsbfglg,St. Barts Linen Robe - fig - L,06/04/2025 10:22:00,1,Return to Stock
