Product ID,Product Description,Product Owner ID,Product Owner Description,Receipt Date,Unit ID Received,Unit Type Received,Total Pieces Received,Unit Volume Received,Billing Eligibility Date,Split Month Billing Period,Long Term Storage Start Date
X003E4JYHP,Napkin Ring (Set of 12),,,05/14/2025 11:54:00,140526,Pallet,847,0.0,05/14/2025 00:00:00,1,
X003VEHOVT,Napkin Ring (Set of 6),,,05/14/2025 11:54:00,140527,Pallet,76,0.0,05/14/2025 00:00:00,1,
PL-POP-HAPP-SQ-SM-50,"""Happily Ever After"" StatementWare Disposable Wedding Plates (50-Pack, 5.5"" x 5.5"")",CUS253,Wood & Wonder Design,12/04/2024 12:34:00,115764,Pallet,1,0.0,12/04/2024 00:00:00,1,
PL-POP-HAPP-SQ-SM-50,"""Happily Ever After"" StatementWare Disposable Wedding Plates (50-Pack, 5.5"" x 5.5"")",CUS253,Wood & Wonder Design,06/05/2025 09:15:00,115764,Pallet,20,0.0,06/05/2025 00:00:00,1,
PL-POP-HAPP-SQ-SM-50,"""Happily Ever After"" StatementWare Disposable Wedding Plates (50-Pack, 5.5"" x 5.5"")",CUS253,Wood & Wonder Design,09/11/2025 10:57:00,115764,Pallet,1,0.0,09/11/2025 00:00:00,1,
PL-POP-HAPP-SQ-SM-50,"""Happily Ever After"" StatementWare Disposable Wedding Plates (50-Pack, 5.5"" x 5.5"")",CUS253,Wood & Wonder Design,09/26/2025 15:00:00,154749,Pallet,20,0.0,09/26/2025 00:00:00,1,
PL-POP-HAPP-RCT-SM-50,"""Happily Ever After"" StatementWare Disposable Wedding Plates (50-Pack, 7.5"" x 5.5"")",CUS253,Wood & Wonder Design,06/05/2025 09:15:00,115765,Pallet,20,0.0,06/05/2025 00:00:00,1,
PL-POP-HAPP-RCT-SM-50,"""Happily Ever After"" StatementWare Disposable Wedding Plates (50-Pack, 7.5"" x 5.5"")",CUS253,Wood & Wonder Design,06/20/2025 08:29:00,144416,Pallet,1,0.0,06/20/2025 00:00:00,1,
PL-POP-HAPP-RCT-SM-50,"""Happily Ever After"" StatementWare Disposable Wedding Plates (50-Pack, 7.5"" x 5.5"")",CUS253,Wood & Wonder Design,09/26/2025 14:57:00,154748,Pallet,20,0.0,09/26/2025 00:00:00,1,
PL-POP-CLBRT-RCT-SM-50,"""Celebrate"" StatementWare Disposable Dessert Plates (50-Pack, 7.5"" x 5.5"")",CUS253,Wood & Wonder Design,05/19/2025 11:04:00,90844,Pallet,1,0.0,05/19/2025 00:00:00,1,
PL-POP-CLBRT-RCT-SM-50,"""Celebrate"" StatementWare Disposable Dessert Plates (50-Pack, 7.5"" x 5.5"")",CUS253,Wood & Wonder Design,09/11/2025 10:53:00,90844,Pallet,1,0.0,09/11/2025 00:00:00,1,
PL-POP-HPPBRTH-RCT-SM-50,"""Happy Birthday"" StatementWare Disposable Dessert Plates (50-Pack, 7.5"" x 5.5"")",CUS253,Wood & Wonder Design,06/05/2025 09:15:00,90846,Pallet,20,0.0,06/05/2025 00:00:00,1,
